id,name,state,district,category,managementType,institutionType,yearEstablished
S-22757,GOVERNMENT POLYTECHNIC DIGLIPUR,Andaman and Nicobar Islands,North and Middle Andaman,Engineering,Central Government,Technical/Polytechnic,-
S-19329,DR S RADHAKRISHNAN DISTRICT INSTITUTE OF EDUCATION AND TRAINING,Andaman and Nicobar Islands,South Andamans,Degree,Central Government,Teacher Training,1998
S-26923,"ANOOP SCHOOL OF NURSING, ADDATEEGALA",Andhra Pradesh,Alluri Sitharama Raju,Medical,Private Un-Aided,Nursing,2024
S-13481,"GOVERNMENT DIPLOMA IN EDUCATION COLLEGE AT ITDA RAMPACHODAVARAM, EAST GODAVARI TRIBAL AREA",Andhra Pradesh,Alluri Sitharama Raju,Degree,State Government,Teacher Training,2008
S-21452,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC JAGARAMPALLI RAMPACHODAVARAM,Andhra Pradesh,Alluri Sitharama Raju,Engineering,State Government,Technical/Polytechnic,-
S-26838,"SRI MODAMAMBA SCHOOL OF NURSING, PADERU",Andhra Pradesh,Alluri Sitharama Raju,Medical,Private Un-Aided,Nursing,2017
C-74566,ANDHRA COLLEGE OF NURSING ANKAPALLE,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2022
C-71848,B R FISHERY POLYTECHNIC,Andhra Pradesh,Anakapalli,Engineering,Private Un-Aided,Affiliated College,-
S-12929,"EMANUEL SCHOOL OF NURSING, MAKAVARAPALEM, VISAKHAPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2003
S-21451,"ENNOBLE SCHOOL OF NURSING , NARSIPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,-
C-71774,JAGRUTHI COLLEGE OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,-
S-26452,KBR SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2023
C-74526,KITES COLLEGE OF BSC MLT,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Affiliated College,2023
C-72286,KITES COLLEGE OF NURSING ATCHUTHAPURAM ANAKAPALLI,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2023
S-26508,"KITES PARAMEDICAL INSTITUTE, SARADA COLONY",Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2023
S-26304,KITES SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2023
S-26242,MOTHER THERESA MPHA (M) TRAINING INSTITUTE,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2012
S-26073,SANTHI SCHOOL OF LAB TECHNICIAN TRAINING,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2002
C-77012,SRI SIVA COLLEGE OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2025
C-74923,"SRI VENKATESWARA COLLEGE OF NURSING, VISAKHAPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2023
S-26272,SRI VENKATESWARA MPHW (F) TRAINING INSTITUTE,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,1984
S-26271,SRI VENKATESWARA SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2018
C-75469,"VENKATESWARA COLLEGE OF PHYSIOTHERAPY, ANAKAPALLI",Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Affiliated College,2024
C-75168,ABHIRAM COLLEGE OF NURSING,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Affiliated College,2024
C-74842,"ADVAITHA COLLEGE OF NURSING, ANANTAPURAMU",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Affiliated College,2025
S-26439,"AMERICAN SCHOOL OF NURSING, ANANTAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1988
S-13397,"Balaji College of Elementary Teacher Education, Khajanagar, Near RTC Bus Stand, Anantapur- 515001",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Teacher Training,2006
S-3485,DR B V SYAMALA RATNAM SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1998
S-26670,DR KSAR GAFFOOR INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Paramedical,2022
S-13099,"FAITH SCHOOL OF NURSING, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2012
S-22768,GOVERNMENT POLYTECHNIC GUNTAKAL,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2023
S-16162,GOVERNMENT POLYTECHNIC KADIRI,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2008
